junctions;crossroads;deadends
0.2354;0.0622;0.36
0.2359;0.0583;0.3527
0.2385;0.0609;0.3605
0.2393;0.0602;0.3599
0.2358;0.0591;0.3542
0.2306;0.061;0.3528
0.2366;0.0595;0.3558
0.2339;0.0606;0.3553
0.2346;0.0598;0.3544
0.2377;0.0597;0.3573
0.238;0.0599;0.358
0.2345;0.062;0.3587
0.2365;0.0602;0.3571
0.2318;0.0601;0.3522
0.236;0.0626;0.3614
0.2284;0.0616;0.3518
0.2356;0.0585;0.3528


A*Caminho;A*Visitados;BFSCaminho;BFSVisitados;GBFCaminho;GBFVisitados
214;0.9999;214;1;214;0.9999
214;0.998;214;0.9985;214;0.998
220;1;220;1;220;1
228;0.9955;228;0.9965;228;0.9955
236;0.9324;236;0.9358;236;0.9324
214;0.7353;214;0.7434;214;0.7353
248;0.7368;248;0.7424;248;0.7368
210;0.6087;210;0.6187;210;0.6087
226;0.9863;226;0.9885;226;0.9863
220;0.9994;220;0.9998;220;0.9994
228;0.8042;228;0.8113;228;0.8042
224;0.8846;224;0.8899;224;0.8846
228;1;228;1;228;1
206;0.7898;206;0.797;206;0.7898
262;0.9057;262;0.9115;262;0.9057
220;0.9842;220;0.9864;220;0.9842
214;0.9998;214;0.9999;214;0.9998
240;0.9362;240;0.94;240;0.9362
220;0.9817;220;0.9838;220;0.9817
230;0.898;230;0.9023;230;0.898
222;0.9991;222;0.9995;222;0.9991
230;0.8177;230;0.8256;230;0.8177
256;0.9583;256;0.9616;256;0.9583
230;1;230;1;230;1
224;0.7651;224;0.7728;224;0.7651
246;0.702;246;0.7076;246;0.702
214;1;214;1;214;1
208;0.9999;208;1;208;0.9999
224;0.9382;224;0.943;224;0.9382
230;1;230;1;230;1
228;0.7617;228;0.7719;228;0.7617
232;0.9321;232;0.9349;232;0.9321
258;0.6894;258;0.6945;258;0.6894
240;0.8056;240;0.8149;240;0.8056
226;0.9999;226;1;226;0.9999
218;0.3351;218;0.3386;218;0.3351
220;0.9832;220;0.9858;220;0.9832
214;0.924;214;0.9294;214;0.924
278;0.901;278;0.9059;278;0.901
220;0.9906;220;0.9913;220;0.9906
214;0.9999;214;0.9999;214;0.9999
242;0.9588;242;0.9617;242;0.9588
238;0.8278;238;0.8333;238;0.8278
224;0.781;224;0.7874;224;0.781
220;0.8969;220;0.9018;220;0.8969
236;0.9953;236;0.9961;236;0.9953
242;0.956;242;0.96;242;0.956
226;0.9668;226;0.9699;226;0.9668
212;0.5315;212;0.5379;212;0.5315
246;0.7459;246;0.7535;246;0.7459
228;1;228;1;228;1
214;0.9949;214;0.9961;214;0.9949
210;0.9991;210;0.9995;210;0.9991
218;0.5332;218;0.5386;218;0.5332
216;1;216;1;216;1
224;0.9767;224;0.9794;224;0.9767
222;0.9984;222;0.9989;222;0.9984
230;0.8224;230;0.8276;230;0.8224
234;0.5609;234;0.5699;234;0.5609
248;0.9991;248;0.9994;248;0.9991
266;0.9851;266;0.9868;266;0.9851
282;0.8899;282;0.897;282;0.8899
238;0.9989;238;0.9991;238;0.9989
212;1;212;1;212;1
222;0.9646;222;0.9675;222;0.9646
234;0.4735;234;0.4773;234;0.4735
224;0.9345;224;0.9389;224;0.9345
234;0.9976;234;0.9983;234;0.9976
222;0.6535;222;0.6581;222;0.6535
212;0.6279;212;0.6352;212;0.6279
228;0.7074;228;0.7134;228;0.7074
234;0.9331;234;0.9376;234;0.9331
220;0.7269;220;0.7327;220;0.7269
232;1;232;1;232;1
214;0.4136;214;0.4177;214;0.4136
216;0.9999;216;1;216;0.9999
232;0.9999;232;0.9999;232;0.9999
208;0.9986;208;0.9993;208;0.9986
224;0.9181;224;0.9231;224;0.9181
242;0.7789;242;0.7857;242;0.7789
246;0.8795;246;0.8867;246;0.8795
208;0.6457;208;0.6505;208;0.6457
284;0.8615;284;0.8673;284;0.8615
222;1;222;1;222;1
218;0.5971;218;0.607;218;0.5971
222;1;222;1;222;1
234;0.9999;234;0.9999;234;0.9999
222;0.7942;222;0.8019;222;0.7942
240;0.6868;240;0.694;240;0.6868
216;0.4325;216;0.4392;216;0.4325
228;0.5899;228;0.5958;228;0.5899
218;0.9912;218;0.992;218;0.9912
214;0.9535;214;0.9582;214;0.9535
218;0.9999;218;1;218;0.9999
212;0.9903;212;0.9925;212;0.9903
230;0.9846;230;0.9852;230;0.9846
252;0.9015;252;0.9061;252;0.9015
226;0.8997;226;0.9065;226;0.8997
218;1;218;1;218;1
224;0.9243;224;0.9267;224;0.9243
220;0.9996;220;0.9999;220;0.9996
220;1;220;1;220;1
220;0.7025;220;0.7092;220;0.7025
212;0.5538;212;0.5622;212;0.5538
228;0.999;228;0.9992;228;0.999
256;0.8942;256;0.8993;256;0.8942
282;0.8302;282;0.8355;282;0.8302
232;0.9435;232;0.9481;232;0.9435
272;0.8961;272;0.9019;272;0.8961
262;0.8734;262;0.8783;262;0.8734
214;0.4434;214;0.4478;214;0.4434
212;0.7652;212;0.7701;212;0.7652
214;0.9991;214;0.9994;214;0.9991
230;0.9215;230;0.9267;230;0.9215
218;0.6499;218;0.6566;218;0.6499
208;0.9388;208;0.944;208;0.9388
248;0.8158;248;0.8207;248;0.8158
234;0.813;234;0.8207;234;0.813
216;0.9974;216;0.9978;216;0.9974
218;0.9996;218;0.9999;218;0.9996
206;0.8748;206;0.8819;206;0.8748
218;0.7313;218;0.738;218;0.7313
234;0.77;234;0.7775;234;0.77
240;0.7728;240;0.7791;240;0.7728
248;0.9272;248;0.9303;248;0.9272
240;0.9999;240;0.9999;240;0.9999
216;0.895;216;0.9029;216;0.895
206;0.9995;206;0.9997;206;0.9995
214;0.5687;214;0.5772;214;0.5687
254;0.7182;254;0.7248;254;0.7182
212;0.9998;212;1;212;0.9998
208;0.9998;208;0.9999;208;0.9998
218;0.9998;218;0.9999;218;0.9998
216;0.6909;216;0.6988;216;0.6909
226;0.5849;226;0.5924;226;0.5849
226;0.9998;226;0.9999;226;0.9998
248;1;248;1;248;1
248;0.9984;248;0.9992;248;0.9984
222;0.5315;222;0.5378;222;0.5315
208;0.9996;208;0.9999;208;0.9996
210;0.9571;210;0.9615;210;0.9571
242;0.7924;242;0.7999;242;0.7924
220;0.9221;220;0.928;220;0.9221
212;0.9986;212;0.9994;212;0.9986
238;0.9063;238;0.9106;238;0.9063
242;0.9968;242;0.9976;242;0.9968
218;0.9999;218;1;218;0.9999
216;1;216;1;216;1
218;1;218;1;218;1
228;0.6013;228;0.6089;228;0.6013
218;0.5404;218;0.5483;218;0.5404
226;0.4066;226;0.4133;226;0.4066
212;0.4568;212;0.4624;212;0.4568
226;0.8514;226;0.8581;226;0.8514
244;0.7285;244;0.7335;244;0.7285
220;0.8438;220;0.8519;220;0.8438
244;0.9205;244;0.9257;244;0.9205
226;0.9981;226;0.9985;226;0.9981
208;0.864;208;0.8706;208;0.864
244;0.8968;244;0.9022;244;0.8968
234;0.7972;234;0.8037;234;0.7972
264;0.9907;264;0.9921;264;0.9907
260;0.866;260;0.8727;260;0.866
236;0.6273;236;0.6328;236;0.6273
218;0.998;218;0.9988;218;0.998
222;0.8805;222;0.8884;222;0.8805
216;0.9837;216;0.9859;216;0.9837
218;0.7655;218;0.7751;218;0.7655
234;0.7518;234;0.7618;234;0.7518
270;0.8962;270;0.8992;270;0.8962
212;1;212;1;212;1
220;0.9278;220;0.9325;220;0.9278
220;0.9013;220;0.9083;220;0.9013
236;0.9308;236;0.9371;236;0.9308
252;0.8449;252;0.8522;252;0.8449
212;0.7013;212;0.7099;212;0.7013
254;0.818;254;0.8224;254;0.818
228;0.9987;228;0.9989;228;0.9987
228;0.6389;228;0.6438;228;0.6389
206;0.5713;206;0.5766;206;0.5713
284;0.9959;284;0.9966;284;0.9959
214;0.7965;214;0.8019;214;0.7965
228;0.5628;228;0.567;228;0.5628
224;0.9911;224;0.9926;224;0.9911
220;0.9999;220;1;220;0.9999
220;0.4353;220;0.4427;220;0.4353
228;0.9997;228;0.9999;228;0.9997
218;0.9996;218;0.9998;218;0.9996
220;0.9987;220;0.9991;220;0.9987
268;0.8548;268;0.8599;268;0.8548
212;0.9996;212;0.9997;212;0.9996
222;0.3423;222;0.3459;222;0.3423
224;0.976;224;0.9782;224;0.976
214;0.9184;214;0.9226;214;0.9184
226;0.991;226;0.9928;226;0.991
214;0.5909;214;0.5995;214;0.5909
214;0.9995;214;0.9997;214;0.9995
230;0.912;230;0.9176;230;0.912
236;0.9176;236;0.923;236;0.9176
220;0.5577;220;0.5639;220;0.5577
246;0.9929;246;0.9939;246;0.9929
222;0.995;222;0.9961;222;0.995
236;1;236;1;236;1
228;0.7352;228;0.742;228;0.7352
250;0.9956;250;0.9964;250;0.9956
216;0.7124;216;0.721;216;0.7124
242;0.9475;242;0.9522;242;0.9475
212;0.9039;212;0.9097;212;0.9039
214;0.9961;214;0.9972;214;0.9961
240;0.9044;240;0.9097;240;0.9044
260;0.9506;260;0.9537;260;0.9506
218;0.9975;218;0.998;218;0.9975
218;0.9996;218;0.9999;218;0.9996
238;0.9999;238;1;238;0.9999
226;1;226;1;226;1
216;0.74;216;0.7483;216;0.74
226;0.9953;226;0.9961;226;0.9953
208;1;208;1;208;1
230;0.6812;230;0.6862;230;0.6812
264;0.9398;264;0.9434;264;0.9398
212;0.9997;212;0.9997;212;0.9997
210;0.9978;210;0.9984;210;0.9978
238;0.9739;238;0.9766;238;0.9739
238;0.8303;238;0.8374;238;0.8303
212;0.9998;212;0.9999;212;0.9998
266;0.911;266;0.9148;266;0.911
224;0.9994;224;0.9995;224;0.9994
214;0.9997;214;0.9998;214;0.9997
262;0.8052;262;0.8092;262;0.8052
234;0.8452;234;0.8489;234;0.8452
204;0.9313;204;0.936;204;0.9313
226;0.9389;226;0.9422;226;0.9389
226;0.5144;226;0.5204;226;0.5144
256;0.9275;256;0.9323;256;0.9275
212;1;212;1;212;1
214;0.7516;214;0.7586;214;0.7516
228;0.9937;228;0.995;228;0.9937
218;0.9561;218;0.9593;218;0.9561
230;0.9999;230;1;230;0.9999
232;0.9994;232;0.9998;232;0.9994
226;0.9627;226;0.9653;226;0.9627
214;0.481;214;0.4854;214;0.481
240;0.6295;240;0.6369;240;0.6295
272;0.7429;272;0.7505;272;0.7429
210;0.9998;210;0.9999;210;0.9998
204;0.7818;204;0.7896;204;0.7818
228;0.7788;228;0.7865;228;0.7788
236;0.9998;236;0.9999;236;0.9998
218;0.9992;218;0.9995;218;0.9992
258;0.7346;258;0.7405;258;0.7346
210;0.6251;210;0.6299;210;0.6251
220;0.9991;220;0.9995;220;0.9991
228;0.9998;228;1;228;0.9998
210;0.9999;210;1;210;0.9999
216;0.3721;216;0.3765;216;0.3721
206;0.6079;206;0.6159;206;0.6079
272;0.9023;272;0.9064;272;0.9023
224;0.8727;224;0.8792;224;0.8727
208;0.9995;208;0.9997;208;0.9995
220;0.9997;220;0.9999;220;0.9997
228;0.9985;228;0.9996;228;0.9985
258;0.8718;258;0.8805;258;0.8718
220;0.9999;220;1;220;0.9999
230;0.8532;230;0.8597;230;0.8532
272;0.8112;272;0.8175;272;0.8112
208;0.9804;208;0.9832;208;0.9804
208;0.9998;208;0.9999;208;0.9998
246;0.9991;246;0.9997;246;0.9991
232;0.9981;232;0.9984;232;0.9981
234;0.9948;234;0.9959;234;0.9948
232;0.9573;232;0.9599;232;0.9573
216;0.9998;216;1;216;0.9998
212;0.546;212;0.5562;212;0.546
210;0.9997;210;0.9999;210;0.9997
208;0.7585;208;0.7625;208;0.7585
230;0.9992;230;0.9998;230;0.9992
220;0.9577;220;0.9609;220;0.9577
212;0.7844;212;0.7928;212;0.7844
234;0.8765;234;0.8816;234;0.8765
242;0.9615;242;0.9637;242;0.9615
254;0.9062;254;0.9116;254;0.9062
228;0.9906;228;0.9925;228;0.9906
218;0.9986;218;0.9991;218;0.9986
224;0.9999;224;0.9999;224;0.9999
218;1;218;1;218;1
232;0.9059;232;0.9112;232;0.9059
228;0.8068;228;0.8158;228;0.8068
210;0.9963;210;0.997;210;0.9963
208;0.9994;208;0.9997;208;0.9994
244;0.8707;244;0.8767;244;0.8707
262;0.8904;262;0.8945;262;0.8904
226;0.9999;226;1;226;0.9999
206;0.8323;206;0.838;206;0.8323
220;0.9998;220;0.9999;220;0.9998
204;0.9989;204;0.9993;204;0.9989
244;0.7326;244;0.7405;244;0.7326
208;0.9831;208;0.9847;208;0.9831
222;0.63;222;0.6372;222;0.63
220;0.7795;220;0.786;220;0.7795
218;0.9979;218;0.9984;218;0.9979
